Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
rigid_base_plate,-0.00224854905210758,-2.22044604925031E-16,-1.11022302462516E-16,0,0,0,0.139707136084498,0.000362153855961995,-1.86445498629699E-19,6.69074444268395E-18,0.000407966760717313,-2.52141086441536E-18,0.000769538503612289,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/rigid_base_plate.STL,0.96078431372549,0.96078431372549,0.964705882352941,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/rigid_base_plate.STL,,rigidbaseplate.step-1/Body1_1.step-1,global Coordinate System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
manipulator_base_plate,1.22886286373358E-05,1.11022302462516E-16,1.11022302462516E-16,0,0,0,0.0862820052494155,0.000123802300064541,-2.58850064594347E-19,1.72303453251338E-18,0.000121470538062705,-8.61839529210846E-19,0.00024491332977204,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/manipulator_base_plate.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/manipulator_base_plate.STL,,manipulatorbaseplatee.step-1/Body1_1_7.step-10,manipulator base Coordinate System,Axis1,manipulaotr_base_plate_j_base_plate,revolute,0,0,0.035,0,0,0,rigid_base_plate,0,0,1,5,300,0,6.28,,,,,,,,
link1_base_connector,-0.00250683727782453,7.21501936895574E-06,0.0284780963824992,0,0,0,0.3101493034797,0.000225770602403096,-1.53108847872636E-11,-4.44856677198981E-08,0.000328764440352947,-9.00769232145696E-09,0.000429446427553537,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_base_connector.STL,0.768627450980392,0.207843137254902,0.152941176470588,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_base_connector.STL,,link1 connector to base.step-1/Body1_1_2.step-15,manipulator base Coordinate System,Axis2,link1_base_connector_j_base_plate,fixed,0,0,0,0,0,0,manipulator_base_plate,0,0,0,,,,,,,,,,,,
link1_motor_holder,-5.01820807130571E-14,0.0102439720821413,0.0484515092209075,0,0,0,0.0472357381724757,0.000129972797985735,7.57422861461972E-17,5.0252648576416E-14,9.69913160495726E-05,-4.58591894562E-09,3.3178297068652E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_motor_holder.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_motor_holder.STL,,link1motorplate.step-1/Body1_1_6.step-11,link1 motor holder Coordinate System,Axis3,link1_motor_holder_j_link1_base_connector,fixed,-0.0475,-0.010235,0.0325,0,0,0,link1_base_connector,0,0,0,,,,,,,,,,,,
link1_holder_plate1,-7.59478585334872E-05,0.0302376768181887,0.0532016958918762,0,0,0,0.0534173325460069,0.000146682680726942,-1.06020409384096E-11,1.49286094539467E-07,0.000109985302453133,7.03231800187629E-09,3.69574692009433E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_holder_plate1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_holder_plate1.STL,,link1holderplate.step-1/Body1_1_5.step-12,link1 holder plate Coordinate System,Axis3,link1_holder_plate1_j_link1_base_connector,fixed,0.0425,-0.030235,0.0325,0,0,0,link1_base_connector,0,0,0,,,,,,,,,,,,
link1_holder_plate_2,6.66133814775094E-16,0.0302374993702151,0.057469700426654,0,0,0,0.048340470503894,0.000126171826754474,1.06018937826447E-19,-1.40627336671772E-18,9.57171643871991E-05,6.11742086252551E-09,3.05835702886188E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_holder_plate_2.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_holder_plate_2.STL,,link1holderplate2.step-1/Body1_1_8.step-9,link 1 holder plate2 Coordinate System,Axis3,link1_holder_plate2_j_plate1,fixed,0.047,-0.030235,0.0325,0,0,0,link1_base_connector,0,0,0,,,,,,,,,,,,
link1_bottom,-0.043858301946271,2.53706144981436E-09,0.0175036982186831,0,0,0,0.33776487197569,0.00033772543614853,-3.46909757097291E-12,5.12404937468018E-06,0.000417922135939936,1.10059853231461E-11,0.0003075355761408,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_bottom.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_bottom.STL,,link1baseholder.step-1/Body1_1_4.step-13,link1 base holder Coordinate System,Axis4,lin1_bottom_j_motor_holder_plate2,revolute,-0.004775,0.030235,0.09,0,0,0,link1_holder_plate_2,-1,0,0,5,300,0,1.39,,,,,,,,
link1,-5.39581868075345E-09,-1.69612222045146E-08,0.260067885294572,0,0,0,1.16262072100872,0.0294764717399224,2.64070289134653E-08,3.02264641415134E-09,0.0294766138223382,-6.05581113367684E-09,0.000654113236446206,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1.STL,,link1.step-1/Body1_1_3.step-14,llink1 Coordinate System,Axis5,link1_j_link1_bottom,fixed,-0.044725,0,0.055,0,0,0,link1_bottom,0,0,0,,,,,,,,,,,,
link1_end_part,3.49700294943744E-07,-5.36573157017273E-08,0.0025745156955117,0,0,0,0.0887935549462749,6.05870122823914E-05,-1.20673426212271E-11,1.34987864310752E-11,8.18529027888766E-05,-3.93645552324886E-13,0.000124952192875935,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_end_part.STL,0.768627450980392,0.207843137254902,0.152941176470588,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link1_end_part.STL,,link1endpart.step-1/Body1_1_12.step-4,link1 endpart Coordinate System,Axis5,link1_end_part_j_link1,fixed,0,0,0.51997,0,0,0,link1,0,0,0,,,,,,,,,,,,
link2_holder_plate,-2.01196429752137E-05,7.42303459810856E-08,0.0581704451095113,0,0,0,0.0587346240548899,0.00016111589583289,1.06567062915207E-12,3.89385339679009E-08,0.000126130278788689,1.31250923946133E-11,3.52646621936093E-05,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link2_holder_plate.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link2_holder_plate.STL,,llink2holderplate.step-1/Body1_1_10.step-7,link2 holderplate Coordinate System,Axis6,link2_holder_plate_j_link1_endpart,fixed,0.0425,0,0.0094039,0,0,0,link1_end_part,0,0,0,,,,,,,,,,,,
link2_base_holder,-0.0396701193420625,-0.0198734327497784,-2.57427568595148E-07,0,0,0,0.334451491213555,0.000352606274559091,-3.68775904581431E-06,9.85102576858203E-13,0.000277425037448963,-1.92982150605619E-11,0.000399176202587073,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link2_base_holder.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link2_base_holder.STL,,link2baseholder.step-1/Component2.step-1,link2 bottom Coordinate System,Axis7,link2_base_holder_j_link2_holder_plate,revolute,-0.0022749,0,0.091125,0,0,0,link2_holder_plate,-1,0,0,5,300,-1.47,1.47,,,,,,,,
link2,-3.2036842068095E-09,-0.210020758728246,3.06611558364978E-09,0,0,0,0.738793048590477,0.0125138808760153,2.81531282534996E-11,2.36623911843703E-11,0.000267941556387362,4.69560000685452E-11,0.0125149718463103,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link2.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://new_manipulator_urdf/meshes/link2.STL,,link2.step-1/Body1_1_11.step-5,link 2 Coordinate System,Axis8,link2_j_link2_bottom,fixed,-0.040225,-0.055,0,0,0,0,link2_base_holder,0,0,0,,,,,,,,,,,,
